,date,range_high,range_high_time,range_low_time,range_low,range_open,range_close,range_true,orb_high,orb_low,orb_open,orb_close,orb_true,range_conf_direction,range_conf_time,orb_conf_direction,orb_conf_time,box_color,orb_range_direction,max_ret,max_ret_pct,max_ret_time,max_ext,max_ext_pct,max_ext_time,orb_open_touch_time
4342,2024-11-01,20271.0,10:25:00,09:30:00,20057.5,20069.0,20270.0,True,20165.0,20057.5,20069.0,20151.0,True,Long,11:25:00,Long,09:55:00,Green,Short,20132.25,0.30465116279069765,10:05:00,20271.0,0.986046511627907,10:25:00,
4343,2024-11-04,20204.25,10:20:00,09:35:00,20013.0,20120.25,20183.5,True,20141.25,20013.0,20120.25,20110.0,True,Long,10:45:00,Long,10:15:00,Green,Long,20154.5,-0.10331384015594541,10:20:00,20204.25,0.49122807017543857,10:20:00,
4344,2024-11-05,20321.25,10:00:00,09:30:00,20147.0,20152.25,20267.0,True,20242.75,20147.0,20152.25,20217.25,True,Long,11:30:00,Long,09:45:00,Green,Short,20247.5,-0.04960835509138381,09:50:00,20321.25,0.8198433420365535,10:00:00,
4345,2024-11-06,20805.25,09:40:00,09:50:00,20644.0,20684.75,20795.5,True,20805.25,20670.0,20684.75,20746.5,True,Long,12:10:00,Short,09:50:00,Green,Short,20803.0,0.9833641404805915,10:25:00,20645.25,0.18299445471349354,09:55:00,09:55:00
4346,2024-11-07,21129.25,10:10:00,09:30:00,21004.0,21006.75,21111.0,True,21092.75,21004.0,21006.75,21073.0,True,Long,10:45:00,Long,09:55:00,Green,Short,21092.25,0.005633802816901409,10:00:00,21129.25,0.4112676056338028,10:10:00,
4347,2024-11-08,21232.25,09:30:00,10:15:00,21161.25,21185.5,21192.75,True,21232.25,21185.5,21185.5,21189.5,True,Long,13:25:00,Short,10:05:00,Green,Short,21203.5,0.3850267379679144,10:20:00,21161.25,0.5187165775401069,10:15:00,10:15:00
4348,2024-11-11,21292.75,09:30:00,10:05:00,21155.25,21283.0,21189.25,True,21292.75,21206.5,21283.0,21210.75,True,Short,13:00:00,Short,09:45:00,Red,Long,21206.5,0.0,10:10:00,21155.25,0.5942028985507246,10:05:00,
4349,2024-11-12,21251.75,09:55:00,10:05:00,21179.5,21214.25,21216.25,True,21241.5,21181.5,21214.25,21213.5,True,Short,11:10:00,Short,11:05:00,Green,Long,,,,,,,
4350,2024-11-13,21184.5,09:35:00,10:05:00,21056.5,21158.75,21100.0,True,21184.5,21139.0,21158.75,21179.25,True,Long,12:10:00,Short,09:45:00,Red,Short,21161.75,0.5,09:50:00,21056.5,1.8131868131868132,10:05:00,09:50:00
4351,2024-11-14,21174.75,09:35:00,10:15:00,21040.5,21137.75,21099.25,True,21174.75,21079.0,21137.75,21083.0,True,Short,12:45:00,Short,10:15:00,Red,Long,21102.0,0.2402088772845953,10:25:00,21040.75,0.39947780678851175,10:20:00,
4352,2024-11-15,20773.75,09:30:00,10:20:00,20582.75,20758.75,20589.5,True,20773.75,20687.0,20758.75,20701.0,True,Short,10:40:00,Short,10:00:00,Red,Long,20686.75,-0.002881844380403458,10:05:00,20582.75,1.201729106628242,10:20:00,
4353,2024-11-18,20653.0,10:25:00,09:50:00,20501.0,20556.75,20651.75,True,20571.5,20521.25,20556.75,20538.5,False,Long,10:30:00,Short,09:50:00,Green,Long,20653.0,2.6218905472636815,10:25:00,20504.75,0.3283582089552239,09:55:00,10:00:00
4354,2024-11-19,20605.0,10:25:00,09:35:00,20508.0,20521.5,20602.5,True,20586.0,20508.0,20521.5,20578.0,True,Long,10:30:00,Long,10:25:00,Green,Short,,,,,,,
4355,2024-11-20,20756.0,09:30:00,10:20:00,20477.0,20753.25,20519.25,True,20756.0,20636.0,20753.25,20655.25,True,Long,16:00:00,Short,09:55:00,Red,Long,20645.0,0.075,10:00:00,20477.0,1.325,10:20:00,
4356,2024-11-21,20905.75,09:30:00,10:25:00,20523.25,20876.0,20529.0,True,20905.75,20628.25,20876.0,20696.5,True,,,Short,10:00:00,Red,Long,20716.0,0.3162162162162162,10:15:00,20523.25,0.3783783783783784,10:25:00,
4357,2024-11-22,20873.0,09:45:00,10:25:00,20722.25,20791.25,20740.75,True,20857.0,20775.0,20791.25,20843.0,True,,,Short,10:10:00,Red,Short,20793.5,0.22560975609756098,10:20:00,20722.25,0.6432926829268293,10:25:00,10:15:00
4358,2024-11-25,21081.0,09:40:00,10:10:00,20869.25,21016.5,20930.5,True,21081.0,20956.25,21016.5,21061.25,True,Short,12:10:00,Short,09:50:00,Red,Short,20958.5,0.018036072144288578,09:55:00,20869.25,0.6973947895791583,10:10:00,
4359,2024-11-26,21024.75,09:50:00,10:15:00,20919.5,20938.75,20954.75,True,21002.25,20938.0,20938.75,20978.0,False,Short,14:20:00,Long,09:45:00,Green,Short,20919.5,1.2879377431906616,10:15:00,21024.75,0.35019455252918286,09:50:00,10:00:00
4360,2024-11-27,20939.5,09:30:00,10:25:00,20765.5,20936.25,20775.25,True,20939.5,20852.5,20936.25,20883.25,True,Short,10:35:00,Short,09:50:00,Red,Long,20863.75,0.12931034482758622,09:55:00,20765.5,1.0,10:25:00,
4361,2024-11-28,20902.0,10:20:00,09:30:00,20874.0,20874.0,20892.0,True,20892.0,20874.0,20874.0,20884.75,True,Long,10:45:00,Long,10:15:00,Green,Short,20892.0,0.0,10:25:00,20902.0,0.5555555555555556,10:20:00,
4362,2024-11-29,20973.5,10:20:00,09:30:00,20805.5,20830.5,20945.75,True,20875.25,20805.5,20830.5,20874.75,True,Long,11:05:00,Long,09:50:00,Green,Short,20892.75,-0.25089605734767023,09:55:00,20973.5,1.4086021505376345,10:20:00,
4363,2024-12-02,21196.5,10:15:00,09:30:00,21026.5,21042.75,21182.5,True,21139.75,21026.5,21042.75,21114.0,True,Long,10:30:00,Long,09:45:00,Green,Short,21126.5,0.11699779249448124,09:55:00,21196.5,0.5011037527593819,10:15:00,
4364,2024-12-03,21234.0,10:05:00,09:30:00,21134.25,21158.0,21177.5,True,21203.5,21134.25,21158.0,21191.75,True,Long,11:25:00,Long,10:00:00,Green,Short,21170.0,0.48375451263537905,10:25:00,21234.0,0.4404332129963899,10:05:00,
4365,2024-12-04,21464.25,10:10:00,09:35:00,21388.25,21417.5,21457.0,True,21436.75,21388.25,21417.5,21414.5,True,Long,10:30:00,Long,10:05:00,Green,Long,21415.75,0.4329896907216495,10:15:00,21464.25,0.5670103092783505,10:10:00,10:15:00
